usc2.akam.net
ns1.uni-hannover.de
dns2.correios.com.br
ns2.cs.ovgu.de
ns5.ntc.net.pk
edns1.ultradns.com
ns-1308.awsdns-35.org
alpha.planalto.gov.br
ns1.rijksoverheidnl.nl
dns01.abk-stuttgart.de
rzdns1.fh-lueneburg.de
dns-extern-slave.uni-jena.de
ns1.mrecic.gov.ar
dns03.uni-paderborn.de
ns1.hans.hosteurope.de
ns1033.ui-dns.biz
dns3a.westeurope.cloudapp.azure.com
ns1.gov.si
dns2.uni-weimar.de
hemera.uni-trier.de
ns01.gouv.bj
ns.his.com
ns1.uni-duisburg-essen.de
ketlen.in.gov.br
tigger.scc.uni-weimar.de
ns2.mfa.gov.rs
ns1081.ui-dns.de
eur6.akam.net
donar.buerokommunikation.fernuni-hagen.de
ns.uni-sb.de
gr-auth-b.ns.adv365.co.uk
ines.zfn.uni-bremen.de
ns-134.awsdns-16.com
ns1-02.azure-dns.com
ns1-82.akam.net
ns1.am.gov.br
dns1.coar.gov.pl
nsa3.schlundtech.de
rudi.hfbk-dresden.de
NS1.mb.gov.br
math-s.math.tu-cottbus.de
DNSs1.Uni-Marburg.DE
ns01.rz.uni-bamberg.de
dns-2.dfn.de
ns.cs.ovgu.de
wp-server.wp.ruhr-uni-bochum.de
ns1.kemlu.go.id
ns.rrz.uni-hamburg.de
ns2.tops.net
swadns01.ms.gov.pl
ns2.cgu.gov.br
chaplin.rz.uni-frankfurt.de
auth00.ns.de.uu.net
bauhaus.udk-berlin.de
ns02.uni-oldenburg.de
ns4.internet-sicherheit.de
btr0x4.rz.uni-bayreuth.de
ns-1847.awsdns-38.co.uk
ns4.rapidcompute.com
d.dns.br
janus.cl.uni-heidelberg.de
ns1.gov.az
ns-1671.awsdns-16.co.uk
ns1.mrr.gov.pl
ns-610.awsdns-12.net
inter2-dns.mfa.gov.tr
nsb4.schlundtech.de
dns1.gwdg.de
ns2.ja.net
ci2.mg.gov.pl
nsc7.schlundtech.de
dns2.fh-giessen.de
terracaida.se.gov.br
uranos.rz.uni-konstanz.de
ns1.mfa.gov.rs
dns2.uni-mannheim.de
ns3.mofa.go.jp
srvdc03.ad.uni-giessen.de
ns2.kei.pl
urzdomdc23.dom.uni-leipzig.de
ns1081.ui-dns.biz
ns-cloud-a1.googledomains.com
adc11.ad.uni-heidelberg.de
dns1.rz.uni-augsburg.de
ns2.uni-bielefeld.de
ns-362.awsdns-45.com
minos.itda.h-da.de
ns1.surfnet.nl
ns2.hans.hosteurope.de
ns1.tiho-hannover.de
urzdomdc22.dom.uni-leipzig.de
ns2.ebs.de
exdc2.ex.uni-paderborn.de
ns2.noc.ruhr-uni-bochum.de
dane.ns.cloudflare.com
a9-64.akam.net
ns-172-a.gandi.net
global.excedodns.com
isla.ns.cloudflare.com
ns1.mi.fu-berlin.de
mailgate.cs.fh-nuernberg.de
rajeev.ns.cloudflare.com
ns-1575.awsdns-04.co.uk
hh.th-bingen.de
ns02.Uni-Oldenburg.DE
dns1.kprm.gov.pl
ns3.fu-berlin.de
cns3.alfahosting.info
adns2.pop-sc.rnp.br
transit.digital.udk-berlin.de
ns1-11.akam.net
pns.dtag.de
news.uni-leipzig.de
ns-1446.awsdns-52.org
ns3.gov.az
bayan.ns.cloudflare.com
srvdc02.ad.uni-giessen.de
austin.ns.cloudflare.com
ns1.ecms.pl
luiza.in.gov.br
auth-dns-3.unibw-hamburg.de
e-dns.pl
th-auth-a.ns.adv365.co.uk
ns1.first-ns.de
ns1.evlada.ba
dns2.uni-ulm.de
ns1.uni-bielefeld.de
ns01.hcu-hamburg.de
ns1.wp.mil.pl
diva.ns.cloudflare.com
ns2.netcologne.de
jerome.ns.cloudflare.com
dns1.uni-ulm.de
ns14.domaincontrol.com
eur2.akam.net
ns2.pa.gov.br
ans3.net.hrz.tu-darmstadt.de
dns2.uni-heidelberg.de
core2.neori.uni-bonn.de
ns-1627.awsdns-11.co.uk
pontadosmangues.se.gov.br
ns.forwiss.uni-passau.de
selene.rz.uni-duesseldorf.de
ns.hfg-karlsruhe.de
ns1.bcc.gov.bd
ns-831.awsdns-39.net
spo1.serpro.gov.br
bindhcp.int.uni-rostock.de
dns-extern-03.uni-jena.de
pgeggrdc01.geographie.dom.uni-leipzig.de
atalante.stanford.edu
ns2.stat.gov.pl
ns2.bcc.gov.bd
ns3.rz.uni-kiel.de
auth0.DNS.TechFak.Uni-Bielefeld.DE
d.ns14.net
node03-en2.rhrz.uni-bonn.de
dns2.mec.gov.br
dns-4.djaweb.dz
lkladdc01.ad.uni-leipzig.de
a.gov.lv
minnehaha.rhrk.uni-kl.de
ns4-02.azure-dns.info
dns4.netcologne.de
ns2.elvisti.kiev.ua
ns0.ja.net
ns2.digital.govt.nz
dns2.uni-regensburg.de
ns03.uni-trier.de
edns1.ultradns.net
ns2.rz.hs-fulda.de
coqueiro.ma.gov.br
ns4.uni-koblenz.de
c.myradns.de
intsrv008.etice.ce.gov.br
dns2.gwdg.de
b-dns.pl
bsa2.serpro.gov.br
luxator.cs.ovgu.de
ns1-owa.uni-due.de
ns4.demysdns.co.uk
tupan.prodemge.gov.br
ns-1833.awsdns-37.co.uk
ns0.de.colt.net
dns3.lrz.de
ns4.apa.net
urzaddc23.ad.uni-leipzig.de
dns2.rrz.uni-hamburg.de
sirene.rz.uni-duesseldorf.de
ns.fs.tum.de
bil.fs.tum.de
ns2.sc.gov.br
secondary007.dtag.net
dns3.correios.com.br
dnsipv6.prodemge.gov.br
dns1.centrum.gov.pl
ns-310.awsdns-38.com
dns-extern-02.uni-jena.de
ns-1465.awsdns-55.org
ns.checkdomain.de
d-dns.pl
authdns2.rz.tuhh.de
ikarus01.ads.uni-regensburg.de
dns3.it.hfg-offenbach.de
a26-65.akam.net
ns2.strazgraniczna.pl
dns0.fun.uni-freiburg.de
ns1.otenet.gr
noc2.rrz.Uni-Koeln.DE
dns01.rz.unibw-muenchen.de
iss-test.cs.fh-nuernberg.de
ns-extern.zdv.Uni-Mainz.DE
medusa.fh-frankfurt.de
dns-3.dfn.de
ns1114.ui-dns.de
gutemine.informatik.uni-kiel.de
dns.tops.net
edns1.ultradns.org
dns7.cloudns.net
cardassia.itda.h-da.de
dnsvw01-rz.uni-koblenz.de
server2.rz.uni-leipzig.de
ceres.hrz.tu-chemnitz.de
intsrv009.etice.ce.gov.br
ns01.agenturserver.de
core1.neori.uni-bonn.de
dns-2.DFN.DE
ns-1276.awsdns-31.org
dns4.procergs.com.br
barock.udk-berlin.de
ns-1637.awsdns-12.co.uk
auth1.dns.gxn.net
dns03.rz.unibw-muenchen.de
ns7.nic.in
ns-283.awsdns-35.com
ns1.digital.govt.nz
auth-dns-2.unibw-hamburg.de
ns4.bdm.microsoftonline.com
adns1.pop-sc.rnp.br
dns1.uni-regensburg.de
ns-271.awsdns-33.com
dns5.netcologne.de
zdns01.ph-karlsruhe.de
splitbrain.zedat.fu-berlin.de
adns1.zih.tu-dresden.de
sodom.rz.tu-clausthal.de
ns.udag.de
ns3.kas-dns-server.de
dns.htwm.de
ns1.mofa.go.jp
dns.rz.tu-cottbus.de
dns1.fun.uni-freiburg.de
dns1.ap.gov.br
ns03.planejamento.gov.br
ns2.es.gov.br
srvbrei.dhv-speyer.de
tuminfo2.informatik.tu-muenchen.de
ns3.tiho-hannover.de
ns1.uni-halle.de
ns3-02.azure-dns.org
shiori.cie.etat.lu
aither.uni-trier.de
mail1.rrz.uni-koeln.de
si-nic.hrz.uni-siegen.de
ns2.neyduetewa.gov.bt
dns3.netcologne.de
ns2.coi.gov.pl
auth50.ns.de.uu.net
ns01.uni-trier.de
dns3.gwdg.de
warumdenn.rz.uni-frankfurt.de
dns2.exatel.pl
ns.fim.uni-passau.de
use5.akam.net
ns-cloud-b2.googledomains.com
dns3.cloudns.net
ns-1110.awsdns-10.org
ns-270.awsdns-33.com
ns2.uni-halle.de
ns3.uni-hannover.de
ns2.swebhosting.co.uk
fay.ns.cloudflare.com
ns-1384.awsdns-45.org
ns2.dc.beltelecom.by
spo2.serpro.gov.br
ns1.mfa.sk
ns2.hrz.uni-giessen.de
zs2.rz.rwth-aachen.de
riesling.khm.de
cinnamon.uni-flensburg.de
